ID	label	region	name	name_full	hemi	color
0	background					
4	cortex_rh_area_32	cortex	area_32	area_32	rh	#803951
5	cortex_rh_area_25	cortex	area_25	subgenual_cortex	rh	#801D46
6	cortex_rh_area_24	cortex	area_24	area_24	rh	#BF0026
11	cortex_rh_MCC	cortex	MCC	midcingulate_cortex	rh	#801D4E
18	cortex_rh_area_10	cortex	area_10	frontal_pole	rh	#D4007B
22	cortex_rh_area_14	cortex	area_14	gyrus_rectus	rh	#803973
26	cortex_rh_areas_11/13	cortex	areas_11/13	areas_11_and_13	rh	#BF008F
34	cortex_rh_area_12m/o	cortex	area_12m/o	medial_and_orbital_area_12	rh	#D573FF
38	cortex_rh_OFa-p	cortex	OFa-p	agranular_orbitofrontal_cortex	rh	#7B00A8
44	cortex_rh_OLF	cortex	OLF	primary_olfactory_cortex	rh	#FF00E6
47	cortex_rh_cl_OFC	cortex	cl_OFC	caudolateral_orbitofrontal_cortex	rh	#A33BFF
51	cortex_rh_area_8A	cortex	area_8A	periarcuate_area_8A_(Frontal_Eye_Fields)	rh	#F23BFF
55	cortex_rh_area_8B	cortex	area_8B	area_8B	rh	#623BFF
59	cortex_rh_rostral_dlPFC	cortex	rostral_dlPFC	rostral_dorsolateral_prefrontal_cortex	rh	#9A8CFF
65	cortex_rh_rostral_vlPFC	cortex	rostral_vlPFC	rostral_ventrolateral_prefrontal_cortex	rh	#1D2180
72	cortex_rh_caudal_vlPFC	cortex	caudal_vlPFC	caudal_ventrolateral_prefrontal_cortex	rh	#A6A7FF
79	cortex_rh_M1	cortex	M1	primary_motor_cortex	rh	#723BFF
80	cortex_rh_PM	cortex	PM	premotor_cortex	rh	#394D80
87	cortex_rh_SMA/preSMA	cortex	SMA/preSMA	medial_supplementary_motor_areas	rh	#73B0FF
92	cortex_rh_SI	cortex	SI	primary_somatosensory_cortex	rh	#3B4BFF
95	cortex_rh_SII	cortex	SII	secondary_somatosensory_cortex	rh	#1D5880
98	cortex_rh_V6	cortex	V6	visual_area_V6	rh	#3BB0FF
99	cortex_rh_V6A	cortex	V6A	visual_area_V6A	rh	#8CDBFF
102	cortex_rh_area_5	cortex	area_5	area_5	rh	#3B83FF
107	cortex_rh_vm_IPS	cortex	vm_IPS	ventromedial_intraparietal_sulcus	rh	#8CE4FF
113	cortex_rh_lat_IPS	cortex	lat_IPS	lateral_intraparietal_sulcus	rh	#1D807E
119	cortex_rh_MST	cortex	MST	medial_superior_temporal_area	rh	#397B80
120	cortex_rh_area_7_in_IPL	cortex	area_7_in_IPL	area_7_in_the_inferior_parietal_lobule	rh	#8CF7FF
126	cortex_rh_area_7m	cortex	area_7m	area_7_(PGm)_on_the_medial_wall	rh	#1D8067
128	cortex_rh_PCC	cortex	PCC	posterior_cingulate_cortex	rh	#8CFFC6
135	cortex_rh_RSC	cortex	RSC	retrosplenial_cortex	rh	#A6FFD2
141	cortex_rh_HiF	cortex	HiF	hippocampal_formation	rh	#1D8027
147	cortex_rh_preS/paraS	cortex	preS/paraS	presubiculum_and_parasubiculum	rh	#00BF20
148	cortex_rh_paraHipp	cortex	paraHipp	parahippocampal_cortex	rh	#7CFF73
154	cortex_rh_ERh	cortex	ERh	entorhinal_cortex	rh	#43801D
160	cortex_rh_PRh	cortex	PRh	perirhinal_cortex	rh	#D5FF8C
166	cortex_rh_TGa	cortex	TGa	agranular_temporal_pole	rh	#6C801D
167	cortex_rh_TGg/TGd	cortex	TGg/TGd	granular_and_dysgranular_temporal_pole	rh	#D7FF73
176	cortex_rh_TEO	cortex	TEO	area_TEO	rh	#90FF00
178	cortex_rh_gyral_TE	cortex	gyral_TE	gyral_aspect_of_area_TE	rh	#98D431
185	cortex_rh_TE_in_STSv	cortex	TE_in_STSv	area_TE_in_the_ventral_STS	rh	#B8E600
188	cortex_rh_STSf	cortex	STSf	fundus_of_the_superior_temporal_sulcus	rh	#807D39
195	cortex_rh_STSd	cortex	STSd	dorsal_bank_of_the_superior_temporal_sulcus	rh	#FFCC00
198	cortex_rh_STGr	cortex	STGr	rostral_superior_temporal_gyrus	rh	#80531D
199	cortex_rh_STGc	cortex	STGc	caudal_superior_temporal_gyrus	rh	#FFFC3B
206	cortex_rh_lat_belt	cortex	lat_belt	lateral_belt_areas	rh	#D9B100
213	cortex_rh_med_belt	cortex	med_belt	medial_belt_areas	rh	#805B39
218	cortex_rh_RTp	cortex	RTp	polar_rostrotemporal_cortex	rh	#D48A00
219	cortex_rh_core	cortex	core	core_areas_of_auditory_cortex	rh	#FFC800
225	cortex_rh_Ins/Pi	cortex	Ins/Pi	insula_and_parainsula	rh	#FF9F73
230	cortex_rh_Ri	cortex	Ri	retroinsula	rh	#FFB18C
232	cortex_rh_MT	cortex	MT	middle_temporal_area	rh	#FF583B
234	cortex_rh_V4	cortex	V4	visual_area_4	rh	#BF4900
238	cortex_rh_V3	cortex	V3	visual_area_3	rh	#9E0300
243	cortex_rh_V2	cortex	V2	visual_area_2	rh	#FFC273
246	cortex_rh_V1	cortex	V1	primary_visual_cortex	rh	#FFFFBF
1004	cortex_lh_area_32	cortex	area_32	area_32	lh	#803951
1005	cortex_lh_area_25	cortex	area_25	subgenual_cortex	lh	#801D46
1006	cortex_lh_area_24	cortex	area_24	area_24	lh	#BF0026
1011	cortex_lh_MCC	cortex	MCC	midcingulate_cortex	lh	#801D4E
1018	cortex_lh_area_10	cortex	area_10	frontal_pole	lh	#D4007B
1022	cortex_lh_area_14	cortex	area_14	gyrus_rectus	lh	#803973
1026	cortex_lh_areas_11/13	cortex	areas_11/13	areas_11_and_13	lh	#BF008F
1034	cortex_lh_area_12m/o	cortex	area_12m/o	medial_and_orbital_area_12	lh	#D573FF
1038	cortex_lh_OFa-p	cortex	OFa-p	agranular_orbitofrontal_cortex	lh	#7B00A8
1044	cortex_lh_OLF	cortex	OLF	primary_olfactory_cortex	lh	#FF00E6
1047	cortex_lh_cl_OFC	cortex	cl_OFC	caudolateral_orbitofrontal_cortex	lh	#A33BFF
1051	cortex_lh_area_8A	cortex	area_8A	periarcuate_area_8A_(Frontal_Eye_Fields)	lh	#F23BFF
1055	cortex_lh_area_8B	cortex	area_8B	area_8B	lh	#623BFF
1059	cortex_lh_rostral_dlPFC	cortex	rostral_dlPFC	rostral_dorsolateral_prefrontal_cortex	lh	#9A8CFF
1065	cortex_lh_rostral_vlPFC	cortex	rostral_vlPFC	rostral_ventrolateral_prefrontal_cortex	lh	#1D2180
1072	cortex_lh_caudal_vlPFC	cortex	caudal_vlPFC	caudal_ventrolateral_prefrontal_cortex	lh	#A6A7FF
1079	cortex_lh_M1	cortex	M1	primary_motor_cortex	lh	#723BFF
1080	cortex_lh_PM	cortex	PM	premotor_cortex	lh	#394D80
1087	cortex_lh_SMA/preSMA	cortex	SMA/preSMA	medial_supplementary_motor_areas	lh	#73B0FF
1092	cortex_lh_SI	cortex	SI	primary_somatosensory_cortex	lh	#3B4BFF
1095	cortex_lh_SII	cortex	SII	secondary_somatosensory_cortex	lh	#1D5880
1098	cortex_lh_V6	cortex	V6	visual_area_V6	lh	#3BB0FF
1099	cortex_lh_V6A	cortex	V6A	visual_area_V6A	lh	#8CDBFF
1102	cortex_lh_area_5	cortex	area_5	area_5	lh	#3B83FF
1107	cortex_lh_vm_IPS	cortex	vm_IPS	ventromedial_intraparietal_sulcus	lh	#8CE4FF
1113	cortex_lh_lat_IPS	cortex	lat_IPS	lateral_intraparietal_sulcus	lh	#1D807E
1119	cortex_lh_MST	cortex	MST	medial_superior_temporal_area	lh	#397B80
1120	cortex_lh_area_7_in_IPL	cortex	area_7_in_IPL	area_7_in_the_inferior_parietal_lobule	lh	#8CF7FF
1126	cortex_lh_area_7m	cortex	area_7m	area_7_(PGm)_on_the_medial_wall	lh	#1D8067
1128	cortex_lh_PCC	cortex	PCC	posterior_cingulate_cortex	lh	#8CFFC6
1135	cortex_lh_RSC	cortex	RSC	retrosplenial_cortex	lh	#A6FFD2
1141	cortex_lh_HiF	cortex	HiF	hippocampal_formation	lh	#1D8027
1147	cortex_lh_preS/paraS	cortex	preS/paraS	presubiculum_and_parasubiculum	lh	#00BF20
1148	cortex_lh_paraHipp	cortex	paraHipp	parahippocampal_cortex	lh	#7CFF73
1154	cortex_lh_ERh	cortex	ERh	entorhinal_cortex	lh	#43801D
1160	cortex_lh_PRh	cortex	PRh	perirhinal_cortex	lh	#D5FF8C
1166	cortex_lh_TGa	cortex	TGa	agranular_temporal_pole	lh	#6C801D
1167	cortex_lh_TGg/TGd	cortex	TGg/TGd	granular_and_dysgranular_temporal_pole	lh	#D7FF73
1176	cortex_lh_TEO	cortex	TEO	area_TEO	lh	#90FF00
1178	cortex_lh_gyral_TE	cortex	gyral_TE	gyral_aspect_of_area_TE	lh	#98D431
1185	cortex_lh_TE_in_STSv	cortex	TE_in_STSv	area_TE_in_the_ventral_STS	lh	#B8E600
1188	cortex_lh_STSf	cortex	STSf	fundus_of_the_superior_temporal_sulcus	lh	#807D39
1195	cortex_lh_STSd	cortex	STSd	dorsal_bank_of_the_superior_temporal_sulcus	lh	#FFCC00
1198	cortex_lh_STGr	cortex	STGr	rostral_superior_temporal_gyrus	lh	#80531D
1199	cortex_lh_STGc	cortex	STGc	caudal_superior_temporal_gyrus	lh	#FFFC3B
1206	cortex_lh_lat_belt	cortex	lat_belt	lateral_belt_areas	lh	#D9B100
1213	cortex_lh_med_belt	cortex	med_belt	medial_belt_areas	lh	#805B39
1218	cortex_lh_RTp	cortex	RTp	polar_rostrotemporal_cortex	lh	#D48A00
1219	cortex_lh_core	cortex	core	core_areas_of_auditory_cortex	lh	#FFC800
1225	cortex_lh_Ins/Pi	cortex	Ins/Pi	insula_and_parainsula	lh	#FF9F73
1230	cortex_lh_Ri	cortex	Ri	retroinsula	lh	#FFB18C
1232	cortex_lh_MT	cortex	MT	middle_temporal_area	lh	#FF583B
1234	cortex_lh_V4	cortex	V4	visual_area_4	lh	#BF4900
1238	cortex_lh_V3	cortex	V3	visual_area_3	lh	#9E0300
1243	cortex_lh_V2	cortex	V2	visual_area_2	lh	#FFC273
1246	cortex_lh_V1	cortex	V1	primary_visual_cortex	lh	#FFFFBF
504	subcortex_rh_Cl	subcortex	Cl	claustrum	rh	
506	subcortex_rh_En	subcortex	En	endopiriform_claustrum	rh	
509	subcortex_rh_Pir	subcortex	Pir	piriform_cortex	rh	
511	subcortex_rh_HF	subcortex	HF	hippocampal_formation	rh	
515	subcortex_rh_f	subcortex	f	fornix	rh	
518	subcortex_rh_vpAmy	subcortex	vpAmy	ventropallial_amygdala	rh	
522	subcortex_rh_lpAmy	subcortex	lpAmy	lateropallial_amygdala	rh	
533	subcortex_rh_stAmy	subcortex	stAmy	striatal_amygdala	rh	
535	subcortex_rh_mAmy	subcortex	mAmy	medial_amygdala	rh	
538	subcortex_rh_pdAmy	subcortex	pdAmy	pallidal_amygdala	rh	
544	subcortex_rh_DStr	subcortex	DStr	dorsal_striatum	rh	
551	subcortex_rh_VStr	subcortex	VStr	ventral_striatum	rh	
554	subcortex_rh_Pd	subcortex	Pd	pallidum	rh	
562	subcortex_rh_BR	subcortex	BR	basal_nucleus_region	rh	
565	subcortex_rh_ST	subcortex	ST	bed_nucleus_of_the_stria_terminalis	rh	
566	subcortex_rh_SDBR	subcortex	SDBR	septum_diagonal_band_complex	rh	
570	subcortex_rh_opt	subcortex	opt	optic_tract	rh	
571	subcortex_rh_POR	subcortex	POR	preoptic_region	rh	
577	subcortex_rh_MTHy	subcortex	MTHy	medial_tuberal_hypothalamus	rh	
579	subcortex_rh_VTHy	subcortex	VTHy	ventral_tuberal_hypothalamus	rh	
583	subcortex_rh_DTHy	subcortex	DTHy	dorsal_tuberal_hypothalamus	rh	
593	subcortex_rh_DPHy	subcortex	DPHy	dorsal_posterior_hypothalamus	rh	
595	subcortex_rh_VPHy	subcortex	VPHy	ventral_posterior_hypothalamus	rh	
600	subcortex_rh_Pit	subcortex	Pit	pituitary	rh	
604	subcortex_rh_ZI-H	subcortex	ZI-H	zona_incerta_and_lenticular_fascicles	rh	
606	subcortex_rh_Rt	subcortex	Rt	reticular_thalamus	rh	
608	subcortex_rh_A+	subcortex	A+	anterior_thalamus+	rh	
612	subcortex_rh_ILThal	subcortex	ILThal	intralaminar_thalamus	rh	
619	subcortex_rh_MD	subcortex	MD	mediodorsal_thalamus	rh	
620	subcortex_rh_MLThal	subcortex	MLThal	midline_thalamus	rh	
629	subcortex_rh_PNThal	subcortex	PNThal	pallido_nigral_thalamus	rh	
632	subcortex_rh_CbThal	subcortex	CbThal	cerebellar_thalamus	rh	
636	subcortex_rh_SpThal	subcortex	SpThal	spinal_thalamus	rh	
642	subcortex_rh_LP	subcortex	LP	lateral_posterior_thalamus	rh	
643	subcortex_rh_LD	subcortex	LD	lateral_dorsal_thalamus	rh	
644	subcortex_rh_Pul	subcortex	Pul	pulvinar_thalamus	rh	
651	subcortex_rh_DLG	subcortex	DLG	dorsal_lateral_geniculate	rh	
652	subcortex_rh_MG	subcortex	MG	medial_geniculate	rh	
654	subcortex_rh_Pi	subcortex	Pi	pineal_gland	rh	
655	subcortex_rh_Hb	subcortex	Hb	habenula	rh	
656	subcortex_rh_PrT	subcortex	PrT	pretectum	rh	
665	subcortex_rh_Co	subcortex	Co	colliculi	rh	
670	subcortex_rh_PAGR	subcortex	PAGR	periaqueductal_gray_region	rh	
674	subcortex_rh_TgMid	subcortex	TgMid	midbrain_tegmentum	rh	
682	subcortex_rh_RtMid	subcortex	RtMid	midbrain_reticulum	rh	
686	subcortex_rh_OC+	subcortex	OC+	occulomotor_region	rh	
689	subcortex_rh_raphe_Mid	subcortex	raphe_Mid	midbrain_raphe	rh	
694	subcortex_rh_R+	subcortex	R+	rubral_region	rh	
697	subcortex_rh_DA_Mid	subcortex	DA_Mid	midbrain_dopaminergic_complex	rh	
707	subcortex_rh_PBC	subcortex	PBC	parabrachial_complex	rh	
712	subcortex_rh_LGR	subcortex	LGR	locus-central_gray_region	rh	
716	subcortex_rh_tgPons	subcortex	tgPons	pontine_dorsal_tegmentum	rh	
720	subcortex_rh_ll+	subcortex	ll+	lateral_lemniscus_complex	rh	
725	subcortex_rh_retPons	subcortex	retPons	pontine_reticulum	rh	
731	subcortex_rh_SO/ml	subcortex	SO/ml	superior_olive+lemiscal_region	rh	
735	subcortex_rh_Pn+	subcortex	Pn+	pontine_nucleus_region	rh	
742	subcortex_rh_wmCB	subcortex	wmCB	cerebellar_white_matter	rh	
745	subcortex_rh_DCb	subcortex	DCb	deep_cerebellar_nuclei	rh	
752	subcortex_rh_Fl-PFl	subcortex	Fl-PFl	floculus_parafloculus	rh	
755	subcortex_rh_VCbCx	subcortex	VCbCx	vermis_cerebellar_cortex	rh	
768	subcortex_rh_ICbCx	subcortex	ICbCx	intermediate_cerebellar_cortex	rh	
776	subcortex_rh_LCbCx	subcortex	LCbCx	lateral_cerebellar_cortex	rh	
782	subcortex_rh_VCC	subcortex	VCC	vestibulo_cochlear_complex	rh	
787	subcortex_rh_C5	subcortex	C5	trigeminal_complex	rh	
794	subcortex_rh_SVC	subcortex	SVC	somatovisceral_complex	rh	
800	subcortex_rh_MedMC	subcortex	MedMC	medullar_motor_complex	rh	
803	subcortex_rh_MedRet	subcortex	MedRet	medullar_reticulum	rh	
808	subcortex_rh_MedRaphe	subcortex	MedRaphe	medullar-Raphe	rh	
812	subcortex_rh_PreCbMed	subcortex	PreCbMed	precerebellar_medulla	rh	
815	subcortex_rh_vmt	subcortex	vmt	ventral_medullar_tracts	rh	
1504	subcortex_lh_Cl	subcortex	Cl	claustrum	lh	
1506	subcortex_lh_En	subcortex	En	endopiriform_claustrum	lh	
1509	subcortex_lh_Pir	subcortex	Pir	piriform_cortex	lh	
1511	subcortex_lh_HF	subcortex	HF	hippocampal_formation	lh	
1515	subcortex_lh_f	subcortex	f	fornix	lh	
1518	subcortex_lh_vpAmy	subcortex	vpAmy	ventropallial_amygdala	lh	
1522	subcortex_lh_lpAmy	subcortex	lpAmy	lateropallial_amygdala	lh	
1533	subcortex_lh_stAmy	subcortex	stAmy	striatal_amygdala	lh	
1535	subcortex_lh_mAmy	subcortex	mAmy	medial_amygdala	lh	
1538	subcortex_lh_pdAmy	subcortex	pdAmy	pallidal_amygdala	lh	
1544	subcortex_lh_DStr	subcortex	DStr	dorsal_striatum	lh	
1551	subcortex_lh_VStr	subcortex	VStr	ventral_striatum	lh	
1554	subcortex_lh_Pd	subcortex	Pd	pallidum	lh	
1562	subcortex_lh_BR	subcortex	BR	basal_nucleus_region	lh	
1565	subcortex_lh_ST	subcortex	ST	bed_nucleus_of_the_stria_terminalis	lh	
1566	subcortex_lh_SDBR	subcortex	SDBR	septum_diagonal_band_complex	lh	
1570	subcortex_lh_opt	subcortex	opt	optic_tract	lh	
1571	subcortex_lh_POR	subcortex	POR	preoptic_region	lh	
1577	subcortex_lh_MTHy	subcortex	MTHy	medial_tuberal_hypothalamus	lh	
1579	subcortex_lh_VTHy	subcortex	VTHy	ventral_tuberal_hypothalamus	lh	
1583	subcortex_lh_DTHy	subcortex	DTHy	dorsal_tuberal_hypothalamus	lh	
1593	subcortex_lh_DPHy	subcortex	DPHy	dorsal_posterior_hypothalamus	lh	
1595	subcortex_lh_VPHy	subcortex	VPHy	ventral_posterior_hypothalamus	lh	
1600	subcortex_lh_Pit	subcortex	Pit	pituitary	lh	
1604	subcortex_lh_ZI-H	subcortex	ZI-H	zona_incerta_and_lenticular_fascicles	lh	
1606	subcortex_lh_Rt	subcortex	Rt	reticular_thalamus	lh	
1608	subcortex_lh_A+	subcortex	A+	anterior_thalamus+	lh	
1612	subcortex_lh_ILThal	subcortex	ILThal	intralaminar_thalamus	lh	
1619	subcortex_lh_MD	subcortex	MD	mediodorsal_thalamus	lh	
1620	subcortex_lh_MLThal	subcortex	MLThal	midline_thalamus	lh	
1629	subcortex_lh_PNThal	subcortex	PNThal	pallido_nigral_thalamus	lh	
1632	subcortex_lh_CbThal	subcortex	CbThal	cerebellar_thalamus	lh	
1636	subcortex_lh_SpThal	subcortex	SpThal	spinal_thalamus	lh	
1642	subcortex_lh_LP	subcortex	LP	lateral_posterior_thalamus	lh	
1643	subcortex_lh_LD	subcortex	LD	lateral_dorsal_thalamus	lh	
1644	subcortex_lh_Pul	subcortex	Pul	pulvinar_thalamus	lh	
1651	subcortex_lh_DLG	subcortex	DLG	dorsal_lateral_geniculate	lh	
1652	subcortex_lh_MG	subcortex	MG	medial_geniculate	lh	
1654	subcortex_lh_Pi	subcortex	Pi	pineal_gland	lh	
1655	subcortex_lh_Hb	subcortex	Hb	habenula	lh	
1656	subcortex_lh_PrT	subcortex	PrT	pretectum	lh	
1665	subcortex_lh_Co	subcortex	Co	colliculi	lh	
1670	subcortex_lh_PAGR	subcortex	PAGR	periaqueductal_gray_region	lh	
1674	subcortex_lh_TgMid	subcortex	TgMid	midbrain_tegmentum	lh	
1682	subcortex_lh_RtMid	subcortex	RtMid	midbrain_reticulum	lh	
1686	subcortex_lh_OC+	subcortex	OC+	occulomotor_region	lh	
1689	subcortex_lh_raphe_Mid	subcortex	raphe_Mid	midbrain_raphe	lh	
1694	subcortex_lh_R+	subcortex	R+	rubral_region	lh	
1697	subcortex_lh_DA_Mid	subcortex	DA_Mid	midbrain_dopaminergic_complex	lh	
1707	subcortex_lh_PBC	subcortex	PBC	parabrachial_complex	lh	
1712	subcortex_lh_LGR	subcortex	LGR	locus-central_gray_region	lh	
1716	subcortex_lh_tgPons	subcortex	tgPons	pontine_dorsal_tegmentum	lh	
1720	subcortex_lh_ll+	subcortex	ll+	lateral_lemniscus_complex	lh	
1725	subcortex_lh_retPons	subcortex	retPons	pontine_reticulum	lh	
1731	subcortex_lh_SO/ml	subcortex	SO/ml	superior_olive+lemiscal_region	lh	
1735	subcortex_lh_Pn+	subcortex	Pn+	pontine_nucleus_region	lh	
1742	subcortex_lh_wmCB	subcortex	wmCB	cerebellar_white_matter	lh	
1745	subcortex_lh_DCb	subcortex	DCb	deep_cerebellar_nuclei	lh	
1752	subcortex_lh_Fl-PFl	subcortex	Fl-PFl	floculus_parafloculus	lh	
1755	subcortex_lh_VCbCx	subcortex	VCbCx	vermis_cerebellar_cortex	lh	
1768	subcortex_lh_ICbCx	subcortex	ICbCx	intermediate_cerebellar_cortex	lh	
1776	subcortex_lh_LCbCx	subcortex	LCbCx	lateral_cerebellar_cortex	lh	
1782	subcortex_lh_VCC	subcortex	VCC	vestibulo_cochlear_complex	lh	
1787	subcortex_lh_C5	subcortex	C5	trigeminal_complex	lh	
1794	subcortex_lh_SVC	subcortex	SVC	somatovisceral_complex	lh	
1800	subcortex_lh_MedMC	subcortex	MedMC	medullar_motor_complex	lh	
